0.000000e+000	8.900800e-002	-3.138764e-013	1.064890e-002	
0.000000e+000	1.735530e-001	1.682302e-012	1.636770e-002	
0.000000e+000	2.493960e-001	-2.872606e-014	1.230863e-002
0.000000e+000	3.127330e-001	-1.551094e-013	-3.177738e-003		
0.000000e+000	3.603880e-001	1.162300e-012	-2.899802e-002
0.000000e+000	3.899710e-001	4.664675e-007	-5.822747e-002	
0.000000e+000	4.000000e-001	8.381468e-008	-7.206290e-002
	
8.900800e-002	0.000000e+000	1.064890e-002	-3.138764e-013	
8.900800e-002	8.900800e-002	9.467749e-003	9.466627e-003	
8.900800e-002	1.735530e-001	6.011664e-003	1.447655e-002		
8.900800e-002	2.493960e-001	1.411232e-003	1.109471e-002	
8.900800e-002	3.127330e-001	-2.099795e-003	-2.635007e-003
8.900800e-002	3.603880e-001	-3.869627e-003	-2.695350e-002	
8.900800e-002	3.899710e-001	-5.899524e-003	-5.513657e-002
8.900800e-002	4.000000e-001	-7.225253e-003	-6.851653e-002	

1.735530e-001	0.000000e+000	1.636770e-002	1.682302e-012	
1.735530e-001	8.900800e-002	1.447655e-002	6.011664e-003	
1.735530e-001	1.735530e-001	9.252135e-003	9.248488e-003	
1.735530e-001	2.493960e-001	2.593995e-003	7.527446e-003	
1.735530e-001	3.127330e-001	-2.898634e-003	-2.028056e-003	
1.735530e-001	3.603880e-001	-6.566070e-003	-2.226404e-002
1.735530e-001	3.899710e-001	-1.078455e-002	-4.702650e-002
1.735530e-001	4.000000e-001	-1.337272e-002	-5.898356e-002
	
2.493960e-001	0.000000e+000	1.230863e-002	-2.872606e-014	
2.493960e-001	8.900800e-002	1.109471e-002	1.411232e-003	
2.493960e-001	1.735530e-001	7.527446e-003	2.593995e-003	
2.493960e-001	2.493960e-001	2.063460e-003	2.058811e-003	
2.493960e-001	3.127330e-001	-3.451372e-003	-3.482981e-003	
2.493960e-001	3.603880e-001	-8.494997e-003	-1.815815e-002
2.493960e-001	3.899710e-001	-1.403638e-002	-3.726134e-002
2.493960e-001	4.000000e-001	-1.734918e-002	-4.683935e-002	

3.127330e-001	0.000000e+000	-3.177738e-003	-1.551094e-013	
3.127330e-001	8.900800e-002	-2.635007e-003	-2.099795e-003	
3.127330e-001	1.735530e-001	-2.028056e-003	-2.898634e-003	
3.127330e-001	2.493960e-001	-3.482981e-003	-3.451372e-003	
3.127330e-001	3.127330e-001	-7.362702e-003	-7.369761e-003	
3.127330e-001	3.603880e-001	-1.194280e-002	-1.709417e-002
3.127330e-001	3.899710e-001	-1.687729e-002	-3.000418e-002
3.127330e-001	4.000000e-001	-1.988365e-002	-3.676029e-002

3.603880e-001	0.000000e+000	-2.899802e-002	1.162300e-012	
3.603880e-001	8.900800e-002	-2.695350e-002	-3.869627e-003	
3.603880e-001	1.735530e-001	-2.226404e-002	-6.566070e-003	
3.603880e-001	2.493960e-001	-1.815815e-002	-8.494997e-003	
3.603880e-001	3.127330e-001	-1.709417e-002	-1.194280e-002	
3.603880e-001	3.603880e-001	-1.870173e-002	-1.872224e-002	
3.603880e-001	3.899710e-001	-2.151425e-002	-2.711465e-002	
3.603880e-001	4.000000e-001	-2.341539e-002	-3.148747e-002

3.899710e-001	0.000000e+000	-5.822747e-002	4.664675e-007	
3.899710e-001	8.900800e-002	-5.513657e-002	-5.899524e-003	
3.899710e-001	1.735530e-001	-4.702650e-002	-1.078455e-002	
3.899710e-001	2.493960e-001	-3.726134e-002	-1.403638e-002	
3.899710e-001	3.127330e-001	-3.000418e-002	-1.687729e-002	
3.899710e-001	3.603880e-001	-2.711465e-002	-2.151425e-002	
3.899710e-001	3.899710e-001	-2.738745e-002	-2.743583e-002	
3.899710e-001	4.000000e-001	-2.827182e-002	-3.039975e-002

4.000000e-001	0.000000e+000	-7.206290e-002	8.381468e-008	
4.000000e-001	8.900800e-002	-6.851653e-002	-7.225253e-003	
4.000000e-001	1.735530e-001	-5.898356e-002	-1.337272e-002	
4.000000e-001	2.493960e-001	-4.683935e-002	-1.734918e-002	
4.000000e-001	3.127330e-001	-3.676029e-002	-1.988365e-002	
4.000000e-001	3.603880e-001	-3.148747e-002	-2.341539e-002		
4.000000e-001	3.899710e-001	-3.039975e-002	-2.827182e-002	
4.000000e-001	4.000000e-001	-3.074472e-002	-3.081115e-002
	
