# y z Fr
-4.0000000000000002e-01 -4.0000000000000002e-01 -9.9352776792936692e-04
-3.9466666666666672e-01 -4.0000000000000002e-01 -1.9836535760065989e-03
-3.8933333333333336e-01 -4.0000000000000002e-01 -3.2483735010985846e-03
-3.8400000000000001e-01 -4.0000000000000002e-01 -4.6753496669548391e-03
-3.7866666666666671e-01 -4.0000000000000002e-01 -6.1864080998625783e-03
-3.7333333333333335e-01 -4.0000000000000002e-01 -7.7296717046208795e-03
-3.6800000000000005e-01 -4.0000000000000002e-01 -9.2731051989640382e-03
-3.6266666666666669e-01 -4.0000000000000002e-01 -1.0799271222218784e-02
-3.5733333333333334e-01 -4.0000000000000002e-01 -1.2301119448962339e-02
-3.5200000000000004e-01 -4.0000000000000002e-01 -1.3778651167302267e-02
-3.4666666666666668e-01 -4.0000000000000002e-01 -1.5236320555667111e-02
-3.4133333333333332e-01 -4.0000000000000002e-01 -1.6681050937025991e-02
-3.3600000000000002e-01 -4.0000000000000002e-01 -1.8120759724579966e-02
-3.3066666666666666e-01 -4.0000000000000002e-01 -1.9563299711695101e-02
-3.2533333333333336e-01 -4.0000000000000002e-01 -2.1015736909039892e-02
-3.2000000000000001e-01 -4.0000000000000002e-01 -2.2483896395944187e-02
-3.1466666666666665e-01 -4.0000000000000002e-01 -2.3972117728016943e-02
-3.0933333333333335e-01 -4.0000000000000002e-01 -2.5483170421038193e-02
-3.0400000000000005e-01 -4.0000000000000002e-01 -2.7018287999114991e-02
-2.9866666666666669e-01 -4.0000000000000002e-01 -2.8577286135330327e-02
-2.9333333333333333e-01 -4.0000000000000002e-01 -3.0158736603265467e-02
-2.8799999999999998e-01 -4.0000000000000002e-01 -3.1760174171040316e-02
-2.8266666666666668e-01 -4.0000000000000002e-01 -3.3378318274801561e-02
-2.7733333333333338e-01 -4.0000000000000002e-01 -3.5009295370662087e-02
-2.7199999999999996e-01 -4.0000000000000002e-01 -3.6648851343751461e-02
-2.6666666666666666e-01 -4.0000000000000002e-01 -3.8292546307225617e-02
-2.6133333333333336e-01 -4.0000000000000002e-01 -3.9935926606083402e-02
-2.5600000000000001e-01 -4.0000000000000002e-01 -4.1574670900171931e-02
-2.5066666666666665e-01 -4.0000000000000002e-01 -4.3204708884169149e-02
-2.4533333333333332e-01 -4.0000000000000002e-01 -4.4822312552678850e-02
-2.3999999999999999e-01 -4.0000000000000002e-01 -4.6424160975804755e-02
-2.3466666666666669e-01 -4.0000000000000002e-01 -4.8007380351639185e-02
-2.2933333333333331e-01 -4.0000000000000002e-01 -4.9569561681091376e-02
-2.2399999999999998e-01 -4.0000000000000002e-01 -5.1108758798738940e-02
